| 交易所 |       品种       |      合约      |开仓日期 |   投/保    |买/卖|持仓量 |    开仓价     |     昨结算     |     结算价     |  浮动盈亏  |  盯市盈亏 |  保证金   |       期权市值       |
|Exchange|     Product      |   Instrument   |Open Date|    S/H     | B/S |Positon|Pos. Open Price|   Prev. Sttl   |Settlement Price| Accum. P/L |  MTM P/L  |  Margin   | Market Value(Options)|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        419.200|         421.300|         426.800|     7600.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      5|        419.800|         421.300|         426.800|    35000.00|   27500.00|  426800.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      4|        419.800|         421.300|         426.800|    28000.00|   22000.00|  341440.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        419.800|         421.300|         426.800|     7000.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      4|        419.900|         421.300|         426.800|    27600.00|   22000.00|  341440.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      2|        420.000|         421.300|         426.800|    13600.00|   11000.00|  170720.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      3|        420.000|         421.300|         426.800|    20400.00|   16500.00|  256080.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      3|        420.800|         421.300|         426.800|    18000.00|   16500.00|  256080.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.800|         421.300|         426.800|     6000.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.800|         421.300|         426.800|     6000.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.600|         421.300|         426.800|     6200.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      4|        420.600|         421.300|         426.800|    24800.00|   22000.00|  341440.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.600|         421.300|         426.800|     6200.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.600|         421.300|         426.800|     6200.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      3|        420.600|         421.300|         426.800|    18600.00|   16500.00|  256080.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      4|        421.000|         421.300|         426.800|    23200.00|   22000.00|  341440.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        421.000|         421.300|         426.800|     5800.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        421.000|         421.300|         426.800|     5800.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        421.000|         421.300|         426.800|     5800.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        421.000|         421.300|         426.800|     5800.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      2|        421.000|         421.300|         426.800|    11600.00|   11000.00|  170720.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.900|         421.300|         426.800|     5900.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.900|         421.300|         426.800|     5900.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      2|        420.900|         421.300|         426.800|    11800.00|   11000.00|  170720.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.900|         421.300|         426.800|     5900.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      4|        420.700|         421.300|         426.800|    24400.00|   22000.00|  341440.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      2|        420.700|         421.300|         426.800|    12200.00|   11000.00|  170720.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.700|         421.300|         426.800|     6100.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        421.000|         421.300|         426.800|     5800.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        421.000|         421.300|         426.800|     5800.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      3|        421.000|         421.300|         426.800|    17400.00|   16500.00|  256080.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.800|         421.300|         426.800|     6000.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.800|         421.300|         426.800|     6000.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      1|        420.900|         421.300|         426.800|     5900.00|    5500.00|   85360.00|                  0.00|
|能源中心|       原油       |     sc2106     | 20210519|一般        |买   |      3|        421.000|         421.300|         426.800|    17400.00|   16500.00|  256080.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.900|         421.300|         425.300|     9600.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.900|         421.300|         425.300|     9600.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.900|         421.300|         425.300|     9600.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.900|         421.300|         425.300|     9600.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      2|        434.900|         421.300|         425.300|    19200.00|   -8000.00|   85060.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.900|         421.300|         425.300|     9600.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      3|        434.900|         421.300|         425.300|    28800.00|  -12000.00|  127590.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.800|         421.300|         425.300|     9500.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.800|         421.300|         425.300|     9500.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.800|         421.300|         425.300|     9500.00|   -4000.00|   42530.00|                  0.00|
|能源中心|       原油       |     sc2107     | 20210518| 套保       |   卖|      1|        434.800|         421.300|         425.300|     9500.00|   -4000.00|   42530.00|                  0.00|
